feature,importance
feature_3,271
feature_1,263
feature_9,243
feature_8,200
feature_10,170
feature_7,149
feature_5,96
feature_0,78
feature_2,67
feature_6,53
feature_4,52
feature_56,48
feature_18,44
feature_25,42
feature_49,39
feature_15,39
feature_20,32
feature_23,31
feature_29,31
feature_37,30
feature_12,28
feature_27,27
feature_32,26
feature_40,25
feature_26,25
feature_24,25
feature_45,25
feature_14,24
feature_21,24
feature_11,24
feature_22,23
feature_16,23
feature_54,22
feature_53,21
feature_47,21
feature_46,18
feature_52,17
feature_13,17
feature_30,15
feature_41,12
feature_57,11
feature_43,10
feature_33,10
feature_35,8
feature_55,7
feature_60,7
feature_51,7
feature_50,6
feature_44,5
feature_34,5
feature_42,4
feature_38,4
feature_62,4
feature_19,4
feature_28,3
feature_63,3
feature_36,3
feature_17,2
feature_59,2
feature_48,2
feature_39,0
feature_58,0
feature_61,0
feature_31,0
